Title,Authors,Date,Abstract,Url,AwesomeListCategory,Categories,PaperIndex,Affiliation
(Perhaps) Beyond Human Translation: Harnessing Multi-Agent Collaboration for Translating Ultra-Long Literary Texts,"Minghao Wu, Yulin Yuan, Gholamreza Haffari, Longyue Wang",2024.5.20,"Recent advancements in machine translation (MT) have significantly enhanced
translation quality across various domains. However, the translation of literary
texts remains a formidable challenge due to their complex language, figurative ex-
pressions, and cultural nuances. In this work, we introduce a novel multi-agent
framework based on large language models (LLMs) for literary translation, im-
plemented as a company called TRANSAGENTS, which mirrors traditional trans-
lation publication process by leveraging the collective capabilities of multiple
agents, to address the intricate demands of translating literary works. To evaluate
the effectiveness of our system, we propose two innovative evaluation strategies:
Monolingual Human Preference (MHP) and Bilingual LLM Preference (BLP).
MHP assesses translations from the perspective of monolingual readers of the tar-
get language, while BLP uses advanced LLMs to compare translations directly
with the original texts. Empirical findings indicate that despite lower d-BLEU
scores, translations from TRANSAGENTS are preferred by both human evalua-
tors and LLMs over human-written references, particularly in genres requiring
domain-specific knowledge. We also highlight the strengths and limitations of
TRANSAGENTS through case studies and suggests directions for future research.",https://arxiv.org/abs/2405.11804,Organization,Computation and Language (cs.CL),(perhaps)_beyond_human_translation_20240520,"Monash University, University of Macau, Tencent AI Lab"
(Perhaps) Beyond Human Translation: Harnessing Multi-Agent Collaboration for Translating Ultra-Long Literary Texts,"Minghao Wu, Yulin Yuan, Gholamreza Haffari, Longyue Wang",2024.5.20,"Recent advancements in machine translation (MT) have significantly enhanced
translation quality across various domains. However, the translation of literary
texts remains a formidable challenge due to their complex language, figurative ex-
pressions, and cultural nuances. In this work, we introduce a novel multi-agent
framework based on large language models (LLMs) for literary translation, im-
plemented as a company called TRANSAGENTS, which mirrors traditional trans-
lation publication process by leveraging the collective capabilities of multiple
agents, to address the intricate demands of translating literary works. To evaluate
the effectiveness of our system, we propose two innovative evaluation strategies:
Monolingual Human Preference (MHP) and Bilingual LLM Preference (BLP).
MHP assesses translations from the perspective of monolingual readers of the tar-
get language, while BLP uses advanced LLMs to compare translations directly
with the original texts. Empirical findings indicate that despite lower d-BLEU
scores, translations from TRANSAGENTS are preferred by both human evalua-
tors and LLMs over human-written references, particularly in genres requiring
domain-specific knowledge. We also highlight the strengths and limitations of
TRANSAGENTS through case studies and suggests directions for future research.",https://arxiv.org/abs/2405.11804,Simulation,Computation and Language (cs.CL),(perhaps)_beyond_human_translation_20240520,"Monash University, University of Macau, Tencent AI Lab"
360°REA: Towards A Reusable Experience Accumulation with 360° Assessment for Multi-Agent System,"Shen Gao, Hao Li, Zhengliang Shi, Chengrui Huang, Quan Tu, Zhiliang Tian, Minlie Huang, Shuo Shang",2024.4.8,"Large
language
model
agents
have
demonstrated
remarkable
advancements
across various complex tasks. Recent works
focus on optimizing the agent team or
employing self-reflection to iteratively solve
complex tasks.
Since these agents are all
based on the same LLM, only conducting
self-evaluation or removing underperforming
agents does not substantively enhance the
capability of the agents.
We argue that a
comprehensive evaluation and accumulating
experience from evaluation feedback is an
effective
approach
to
improving
system
performance.
In this paper, we propose
Reusable
Experience
Accumulation
with
360◦ Assessment (360◦REA), a hierarchical
multi-agent framework inspired by corporate
organizational practices.
The framework
employs a novel 360◦ performance assessment
method for multi-perspective performance
evaluation with fine-grained assessment. To
enhance the capability of agents in addressing
complex
tasks,
we
introduce
dual-level
experience pool for agents to accumulate
experience through fine-grained assessment.
Extensive
experiments
on
complex
task
datasets demonstrate the effectiveness of
360◦REA.",https://arxiv.org/abs/2404.05569,Evolution,Artificial Intelligence (cs.AI),360°rea_towards_a_reusable_20240408,"University of Electronic Science and Technology of China, Shandong University, Renmin University of China, National University of Defense Technology, Tsinghua University"
Affordable Generative Agents,"Yangbin Yu, Qin Zhang, Junyou Li, Qiang Fu, Deheng Ye",2024.2.3,"The emergence of large language models (LLMs)
has significantly advanced the simulation of
believable interactive agents.
However, the
substantial cost on maintaining the prolonged
agent interactions poses challenge over the
deployment of believable LLM-based agents.
Therefore, in this paper, we develop Affordable
Generative Agents (AGA), a framework for
enabling the generation of believable and
low-cost interactions on both agent-environment
and inter-agents levels. Specifically, for agent-
environment interactions, we substitute repetitive
LLM inferences with learned policies; while for
inter-agent interactions, we model the social rela-
tionships between agents and compress auxiliary
dialogue information. Extensive experiments on
multiple environments show the effectiveness
and efficiency of our proposed framework. Also,
we delve into the mechanisms of emergent
believable behaviors lying in LLM agents,
demonstrating that agents can only generate
finite behaviors in fixed environments, based
upon which, we understand ways to facilitate
emergent interaction behaviors.
Our code is
publicly available at:
https://github.
com/AffordableGenerativeAgents/
Affordable-Generative-Agents.",https://arxiv.org/abs/2402.02053,Evolution,Artificial Intelligence (cs.AI),affordable_generative_agents_20240203,Tencent Inc.
Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,"Junkai Li, Siyu Wang, Meng Zhang, Weitao Li, Yunghwei Lai, Xinhui Kang, Weizhi Ma, Yang Liu",2024.5.5,"In this paper, we introduce a simulacrum of hospital called Agent Hospital that simulates the
entire process of treating illness. All patients, nurses, and doctors are autonomous agents powered by
large language models (LLMs). Our central goal is to enable a doctor agent to learn how to treat illness
within the simulacrum. To do so, we propose a method called MedAgent-Zero. As the simulacrum can
simulate disease onset and progression based on knowledge bases and LLMs, doctor agents can keep
accumulating experience from both successful and unsuccessful cases. Simulation experiments show that
the treatment performance of doctor agents consistently improves on various tasks. More interestingly,
the knowledge the doctor agents have acquired in Agent Hospital is applicable to real-world medicare
benchmarks. After treating around ten thousand patients (real-world doctors may take over two years),
the evolved doctor agent achieves a state-of-the-art accuracy of 9",https://arxiv.org/abs/2405.02957,Evolution,Artificial Intelligence (cs.AI),agent_hospital_a_simulacrum_20240505,Tsinghua University
Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,"Junkai Li, Siyu Wang, Meng Zhang, Weitao Li, Yunghwei Lai, Xinhui Kang, Weizhi Ma, Yang Liu",2024.5.5,"In this paper, we introduce a simulacrum of hospital called Agent Hospital that simulates the
entire process of treating illness. All patients, nurses, and doctors are autonomous agents powered by
large language models (LLMs). Our central goal is to enable a doctor agent to learn how to treat illness
within the simulacrum. To do so, we propose a method called MedAgent-Zero. As the simulacrum can
simulate disease onset and progression based on knowledge bases and LLMs, doctor agents can keep
accumulating experience from both successful and unsuccessful cases. Simulation experiments show that
the treatment performance of doctor agents consistently improves on various tasks. More interestingly,
the knowledge the doctor agents have acquired in Agent Hospital is applicable to real-world medicare
benchmarks. After treating around ten thousand patients (real-world doctors may take over two years),
the evolved doctor agent achieves a state-of-the-art accuracy of 9",https://arxiv.org/abs/2405.02957,Organization,Artificial Intelligence (cs.AI),agent_hospital_a_simulacrum_20240505,Tsinghua University
Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,"Junkai Li, Siyu Wang, Meng Zhang, Weitao Li, Yunghwei Lai, Xinhui Kang, Weizhi Ma, Yang Liu",2024.5.5,"In this paper, we introduce a simulacrum of hospital called Agent Hospital that simulates the
entire process of treating illness. All patients, nurses, and doctors are autonomous agents powered by
large language models (LLMs). Our central goal is to enable a doctor agent to learn how to treat illness
within the simulacrum. To do so, we propose a method called MedAgent-Zero. As the simulacrum can
simulate disease onset and progression based on knowledge bases and LLMs, doctor agents can keep
accumulating experience from both successful and unsuccessful cases. Simulation experiments show that
the treatment performance of doctor agents consistently improves on various tasks. More interestingly,
the knowledge the doctor agents have acquired in Agent Hospital is applicable to real-world medicare
benchmarks. After treating around ten thousand patients (real-world doctors may take over two years),
the evolved doctor agent achieves a state-of-the-art accuracy of 9",https://arxiv.org/abs/2405.02957,Simulation,Artificial Intelligence (cs.AI),agent_hospital_a_simulacrum_20240505,Tsinghua University
AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,"Junjie Zhang, Yupeng Hou, Ruobing Xie, Wenqi Sun, Julian McAuley, Wayne Xin Zhao, Leyu Lin, Ji-Rong Wen",2023.10.13,"Recently, there has been an emergence of employing LLM-powered
agents as believable human proxies, based on their remarkable
decision-making capability. However, existing studies mainly focus
on simulating human dialogue. Human non-verbal behaviors, such
as item clicking in recommender systems, although implicitly ex-
hibiting user preferences and could enhance the modeling of users,
have not been deeply explored. The main reasons lie in the gap
between language modeling and behavior modeling, as well as the
incomprehension of LLMs about user-item relations.
To address this issue, we propose AgentCF for simulating user-
item interactions in recommender systems through agent-based
collaborative filtering. We creatively consider not only users but
also items as agents, and develop a collaborative learning approach
that optimizes both kinds of agents together. Specifically, at each
time step, we first prompt the user and item agents to interact au-
tonomously. Then, based on the disparities between the agents’
decisions and real-world interaction records, user and item agents
are prompted to reflect on and adjust the misleading simulations
collaboratively, thereby modeling their two-sided relations. The op-
timized agents can also propagate their preferences to other agents
in subsequent interactions, implicitly capturing the collaborative fil-
tering idea. Overall, the optimized agents exhibit diverse interaction
behaviors within our framework, including user-item, user-user,
item-item, and collective interactions. The results show that these
agents can demonstrate personalized behaviors akin to those of real-
world individuals, sparking the development of next-generation
user behavior simulation.",https://arxiv.org/abs/2310.09233,Communication,Information Retrieval (cs.IR),agentcf_collaborative_learning_with_20231013,"Renmin University of China, UC San Diego, Tencent"
AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,"Junjie Zhang, Yupeng Hou, Ruobing Xie, Wenqi Sun, Julian McAuley, Wayne Xin Zhao, Leyu Lin, Ji-Rong Wen",2023.10.13,"Recently, there has been an emergence of employing LLM-powered
agents as believable human proxies, based on their remarkable
decision-making capability. However, existing studies mainly focus
on simulating human dialogue. Human non-verbal behaviors, such
as item clicking in recommender systems, although implicitly ex-
hibiting user preferences and could enhance the modeling of users,
have not been deeply explored. The main reasons lie in the gap
between language modeling and behavior modeling, as well as the
incomprehension of LLMs about user-item relations.
To address this issue, we propose AgentCF for simulating user-
item interactions in recommender systems through agent-based
collaborative filtering. We creatively consider not only users but
also items as agents, and develop a collaborative learning approach
that optimizes both kinds of agents together. Specifically, at each
time step, we first prompt the user and item agents to interact au-
tonomously. Then, based on the disparities between the agents’
decisions and real-world interaction records, user and item agents
are prompted to reflect on and adjust the misleading simulations
collaboratively, thereby modeling their two-sided relations. The op-
timized agents can also propagate their preferences to other agents
in subsequent interactions, implicitly capturing the collaborative fil-
tering idea. Overall, the optimized agents exhibit diverse interaction
behaviors within our framework, including user-item, user-user,
item-item, and collective interactions. The results show that these
agents can demonstrate personalized behaviors akin to those of real-
world individuals, sparking the development of next-generation
user behavior simulation.",https://arxiv.org/abs/2310.09233,Simulation,Information Retrieval (cs.IR),agentcf_collaborative_learning_with_20231013,"Renmin University of China, UC San Diego, Tencent"
AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,"Weize Chen, Yusheng Su, Jingwei Zuo, Cheng Yang, Chenfei Yuan, Chi-Min Chan, Heyang Yu, Yaxi Lu, Yi-Hsin Hung, Chen Qian, Yujia Qin, Xin Cong, Ruobing Xie, Zhiyuan Liu, Maosong Sun, Jie Zhou",2023.8.21,"Autonomous agents empowered by Large Language Models (LLMs) have under-
gone significant improvements, enabling them to generalize across a broad spec-
trum of tasks. However, in real-world scenarios, cooperation among individuals is
often required to enhance the efficiency and effectiveness of task accomplishment.
Hence, inspired by human group dynamics, we propose a multi-agent framework
AGENTVERSE that can effectively orchestrate a collaborative group of expert agents
as a greater-than-the-sum-of-its-parts system. Our experiments demonstrate that
AGENTVERSE can proficiently deploy multi-agent groups that outperform a single
agent. Extensive experiments on text understanding, reasoning, coding, tool utiliza-
tion, and embodied AI confirm the effectiveness of AGENTVERSE. Moreover, our
analysis of agent interactions within AGENTVERSE reveals the emergence of spe-
cific collaborative behaviors, contributing to heightened group efficiency. Our code
has been released at https://github.com/OpenBMB/AgentVerse/.",https://arxiv.org/abs/2308.10848,Communication,Computation and Language (cs.CL),agentverse_facilitating_multi-agent_collaboration_20230821,"Tsinghua University, Beijing University of Posts and Telecommunications, Tencent Inc."
